ticket_id,time,cell_id,malfunc_type
7516,201903040722,000FC0393C27B31E0E75A92DD8043B42,电力故障
11513,201903142252,000FC0393C27B31E0E75A92DD8043B42,电力故障
11514,201903142252,000FC0393C27B31E0E75A92DD8043B42,电力故障
10982,201903131110,0019B90A20F41835FF1E84098CB8086E,电力故障
10983,201903131110,0019B90A20F41835FF1E84098CB8086E,硬件故障
11251,201903140934,0019B90A20F41835FF1E84098CB8086E,电力故障
11252,201903140934,0019B90A20F41835FF1E84098CB8086E,硬件故障
11282,201903141010,0019B90A20F41835FF1E84098CB8086E,硬件故障
12322,201903161611,0019B90A20F41835FF1E84098CB8086E,电力故障
12498,201903170828,0019B90A20F41835FF1E84098CB8086E,电力故障
12500,201903170830,0019B90A20F41835FF1E84098CB8086E,电力故障
12610,201903171303,0019B90A20F41835FF1E84098CB8086E,电力故障
12654,201903171438,0019B90A20F41835FF1E84098CB8086E,电力故障
13066,201903181417,0019B90A20F41835FF1E84098CB8086E,硬件故障
13068,201903181417,0019B90A20F41835FF1E84098CB8086E,电力故障
13511,201903191425,0019B90A20F41835FF1E84098CB8086E,电力故障
15122,201903211450,0019B90A20F41835FF1E84098CB8086E,电力故障
15184,201903211652,0019B90A20F41835FF1E84098CB8086E,电力故障
12278,201903161444,0021B7178E7029494831F09FF502DBC4,电力故障
12280,201903161445,0021B7178E7029494831F09FF502DBC4,电力故障
19613,201903311259,003405A0FA547E2DCE2752B1EED0F60A,电力故障
19614,201903311259,003405A0FA547E2DCE2752B1EED0F60A,电力故障
11086,201903131703,00434AFF6DB87675D0CFDD355057A5E0,硬件故障
8399,201903061309,00446529F7C191B2D15676E991CA7CB3,电力故障
8400,201903061309,00446529F7C191B2D15676E991CA7CB3,电力故障
5428,201902251703,0047861900B756DB4E3373E624335B03,电力故障
12034,201903160758,004A7E84230ED47F8C2D73E6824248B1,电力故障
19525,201903310927,004F72F55C2157101EA687DC89854369,电力故障
5662,201902261039,005D4F7CC0604EFF078A5FF3C7F0C45C,电力故障
4750,201902231611,006039D976ACAAFF94531CF90C52A455,电力故障
4875,201902240844,006039D976ACAAFF94531CF90C52A455,电力故障
7781,201903041819,006039D976ACAAFF94531CF90C52A455,电力故障
7934,201903050927,006039D976ACAAFF94531CF90C52A455,电力故障
15023,201903211137,006039D976ACAAFF94531CF90C52A455,电力故障
17127,201903260749,006039D976ACAAFF94531CF90C52A455,电力故障
17465,201903261834,006039D976ACAAFF94531CF90C52A455,电力故障
12534,201903171002,0063BB2359887D736197009864B7A7C4,电力故障
12535,201903171003,0063BB2359887D736197009864B7A7C4,电力故障
14477,201903201612,006B6E2A0FB74387419898449F50FF3B,电力故障
2878,201902161726,006D8502A70D3B0F9FE211996A88781F,电力故障
10872,201903130146,007C2B2959B868B2B599DF2B55DC010C,电力故障
11154,201903140051,007C2B2959B868B2B599DF2B55DC010C,电力故障
11511,201903142247,007C2B2959B868B2B599DF2B55DC010C,电力故障
11973,201903160108,007C2B2959B868B2B599DF2B55DC010C,电力故障
12397,201903162326,007C2B2959B868B2B599DF2B55DC010C,电力故障
12757,201903171941,007C2B2959B868B2B599DF2B55DC010C,电力故障
13244,201903190041,007C2B2959B868B2B599DF2B55DC010C,传输故障
13246,201903190041,007C2B2959B868B2B599DF2B55DC010C,传输故障
13247,201903190043,007C2B2959B868B2B599DF2B55DC010C,电力故障
13662,201903192301,007C2B2959B868B2B599DF2B55DC010C,电力故障
14650,201903210031,007C2B2959B868B2B599DF2B55DC010C,电力故障
14652,201903210031,007C2B2959B868B2B599DF2B55DC010C,电力故障
14654,201903210033,007C2B2959B868B2B599DF2B55DC010C,电力故障
14846,201903210817,007C2B2959B868B2B599DF2B55DC010C,电力故障
17666,201903270925,007C2B2959B868B2B599DF2B55DC010C,电力故障
17667,201903270926,007C2B2959B868B2B599DF2B55DC010C,电力故障
401,201902062345,007F18CC33F63EE9BE25D1C2A436D810,电力故障
741,201902080131,007F18CC33F63EE9BE25D1C2A436D810,电力故障
743,201902080203,007F18CC33F63EE9BE25D1C2A436D810,电力故障
744,201902080203,007F18CC33F63EE9BE25D1C2A436D810,电力故障
837,201902081119,007F18CC33F63EE9BE25D1C2A436D810,电力故障
840,201902081120,007F18CC33F63EE9BE25D1C2A436D810,电力故障
1000,201902090149,007F18CC33F63EE9BE25D1C2A436D810,电力故障
1004,201902090223,007F18CC33F63EE9BE25D1C2A436D810,电力故障
1005,201902090232,007F18CC33F63EE9BE25D1C2A436D810,电力故障
1075,201902091127,007F18CC33F63EE9BE25D1C2A436D810,电力故障
1077,201902091127,007F18CC33F63EE9BE25D1C2A436D810,电力故障
1170,201902092116,007F18CC33F63EE9BE25D1C2A436D810,电力故障
1171,201902092116,007F18CC33F63EE9BE25D1C2A436D810,电力故障
